Round 1,Round 2,Quarter-final,Semi-final,Final,Winner
Ben LANE / Sean VENDY [1],,,,,
,Ben LANE / Sean VENDY [1],,,,
SUN Wen Jun / ZHU Yi Jun,21-16 21-12 (0:36),,,,
,,Ben LANE / Sean VENDY [1],,,
Hariharan AMSAKARUNAN / Ruban Kumar RETHINASABAPATHI,,19-21 21-13 21-7 (0:52),,,
,SU Ching Heng / WU Guan Xun,,,,
SU Ching Heng / WU Guan Xun,21-16 18-21 23-21 (1:00),,,,
,,,Ben LANE / Sean VENDY [1],,
Nur Mohd Azriyn Ayub AZRIYN / TAN Wee Kiong [8],,,21-11 21-14 (0:33),,
,Ming Che LU / TANG Kai Wei,,,,
Ming Che LU / TANG Kai Wei,19-21 21-13 21-19 (0:59),,,,
,,CHEN Cheng Kuan / LIN Bing-Wei,,,
CHEN Cheng Kuan / LIN Bing-Wei,,24-22 17-21 21-10 (0:56),,,
,CHEN Cheng Kuan / LIN Bing-Wei,,,,
Koceila MAMMERI / Youcef Sabri MEDEL,21-12 21-14 (0:26),,,,
,,,,KIM Won Ho / SEO Seung Jae [7],
Shaharuddin Junaidi W M ARIF / Roy King YAP [3],,,,21-14 21-19 (0:42),
,Shaharuddin Junaidi W M ARIF / Roy King YAP [3],,,,
William Kryger BOE / Christian Faust KJÆR,21-23 21-13 21-12 (0:52),,,,
,,Shaharuddin Junaidi W M ARIF / Roy King YAP [3],,,
CHANG Ko-Chi / PO Li-Wei,,21-17 22-20 (0:37),,,
,CHANG Ko-Chi / PO Li-Wei,,,,
Mael CATTOEN / Lucas RENOIR,22-20 21-18 (0:42),,,,
,,,KIM Won Ho / SEO Seung Jae [7],,
KIM Won Ho / SEO Seung Jae [7],,,21-16 21-16 (0:38),,
,KIM Won Ho / SEO Seung Jae [7],,,,
Alexander DUNN / Adam PRINGLE,21-16 21-18 (0:39),,,,
,,KIM Won Ho / SEO Seung Jae [7],,,
CHIANG Chien-Wei / WU Hsuan-Yi,,21-6 21-12 (0:31),,,
,Daniel HESS / Marvin SEIDEL,,,,
Daniel HESS / Marvin SEIDEL,21-14 21-18 (0:40),,,,
,,,,,KIM Won Ho / SEO Seung Jae [7]
LOW Hang Yee / NG Eng Cheong,,,,,21-19 21-17 (0:47)
,Christopher GRIMLEY / Matthew GRIMLEY,,,,
Christopher GRIMLEY / Matthew GRIMLEY,21-14 21-14 (0:37),,,,
,,Christo POPOV / Toma Junior POPOV [5],,,
CHEN Zhi Ray / LIN Yu Chieh,,21-14 14-21 21-14 (0:53),,,
,Christo POPOV / Toma Junior POPOV [5],,,,
Christo POPOV / Toma Junior POPOV [5],21-19 25-23 (0:44),,,,
,,,Christo POPOV / Toma Junior POPOV [5],,
Eloi ADAM / Leo ROSSI,,,21-17 21-9 (0:38),,
,Eloi ADAM / Leo ROSSI,,,,
Bjarne GEISS / Jan Colin VÖLKER,16-21 21-18 21-16 (1:06),,,,
,,Fang-Chih LEE / Fang-Jen LEE [4],,,
Julien MAIO / William VILLEGER,,21-15 21-16 (0:44),,,
,Fang-Chih LEE / Fang-Jen LEE [4],,,,
Fang-Chih LEE / Fang-Jen LEE [4],21-15 21-11 (0:33),,,,
,,,,Christo POPOV / Toma Junior POPOV [5],
CHEN ZHI YI / Presley SMITH,,,,21-13 22-20 (0:44),
,CHEN ZHI YI / Presley SMITH,,,,
Khai Xing KANG / Aaron TAI,21-19 21-18 (0:36),,,,
,,Takumi NOMURA / Yuichi SHIMOGAMI,,,
Takumi NOMURA / Yuichi SHIMOGAMI,,21-14 21-19 (0:37),,,
,Takumi NOMURA / Yuichi SHIMOGAMI,,,,
Andreas SØNDERGAARD / Jesper TOFT [6],24-22 21-15 (0:40),,,,
,,,Takumi NOMURA / Yuichi SHIMOGAMI,,
Pruthvi KRISHNAMURTHY ROY / Saipratheek. K KRISHNAPRASAD,,,21-14 19-21 21-16 (0:55),,
,Pruthvi KRISHNAMURTHY ROY / Saipratheek. K KRISHNAPRASAD,,,,
Callum HEMMING / Ethan VAN LEEUWEN,22-20 21-19 (0:38),,,,
,,Rasmus KJÆR / Frederik SØGAARD [2],,,
Daniel LUNDGAARD / Mads VESTERGAARD,,19-21 21-14 21-14 (0:53),,,
,Rasmus KJÆR / Frederik SØGAARD [2],,,,
Rasmus KJÆR / Frederik SØGAARD [2],21-17 16-21 23-21 (1:06),,,,
,,,,,
