Round 1,Round 2,Quarter-final,Semi-final,Final,Winner
Peeratchai SUKPHUN / Pakkapon TEERARATSAKUL [1],,,,,
,Peeratchai SUKPHUN / Pakkapon TEERARATSAKUL [1],,,,
PAN Yin Han / REN Chengming,12-21 21-9 21-14 (0:42),,,,
,,CHEN Xujun / GUO Ruohan,,,
YAO Zhidi / ZHANG Nan,,17-21 22-20 21-18 (1:16),,,
,CHEN Xujun / GUO Ruohan,,,,
CHEN Xujun / GUO Ruohan,21-18 21-17 (0:38),,,,
,,,CUI He Chen / PENG Jian Qin,,
Sirawit SOTHON / Natthapat TRINKAJEE [7],,,21-16 16-21 21-17 (1:05),,
,CUI He Chen / PENG Jian Qin,,,,
CUI He Chen / PENG Jian Qin,21-5 21-17 (0:33),,,,
,,CUI He Chen / PENG Jian Qin,,,
LIU Zi Jie / XU Jia Jun,,21-17 17-21 21-9 (1:06),,,
,Tanadon PUNPANICH / Wachirawit SOTHON,,,,
Tanadon PUNPANICH / Wachirawit SOTHON,21-13 21-15 (0:34),,,,
,,,,CHIANG Chien-Wei / WU Hsuan-Yi [3],
CHIANG Chien-Wei / WU Hsuan-Yi [3],,,,21-16 21-17 (0:39),
,CHIANG Chien-Wei / WU Hsuan-Yi [3],,,,
LAU Yi Sheng / Yi Bo LEE,21-13 21-15 (0:29),,,,
,,CHIANG Chien-Wei / WU Hsuan-Yi [3],,,
Dingku Singh KONTHOUJAM / Amaan MOHAMMAD,,11-21 21-18 21-9 (0:42),,,
,DENG Cheng Hao / FAN Jun Lin,,,,
DENG Cheng Hao / FAN Jun Lin,21-14 21-9 (0:21),,,,
,,,CHIANG Chien-Wei / WU Hsuan-Yi [3],,
Nur Mohd Azriyn Ayub AZRIYN / TAN Wee Kiong [8],,,22-20 21-18 (0:38),,
,Nur Mohd Azriyn Ayub AZRIYN / TAN Wee Kiong [8],,,,
Zhi-Wei HE / HUANG Jui-Hsuan,21-19 21-17 (0:30),,,,
,,Nur Mohd Azriyn Ayub AZRIYN / TAN Wee Kiong [8],,,
Tze Jian LIM / Tien Ci WONG,,25-23 8-21 21-15 (0:56),,,
,SUN Wen Jun / ZHU Yi Jun,,,,
SUN Wen Jun / ZHU Yi Jun,21-19 18-21 21-18 (0:55),,,,
,,,,,ZHOU Haodong / TAN Qiang [4]
CHENG Kai Wen / LIAO Chao Pang,,,,,21-18 21-15 (0:42)
,CHENG Kai Wen / LIAO Chao Pang,,,,
Takumi NOMURA / Yuichi SHIMOGAMI,21-19 21-13 (0:34),,,,
,,Kazuki SHIBATA / Naoki YAMADA [6],,,
Huaidong TANG / Zewel XIE,,21-18 21-15 (0:41),,,
,Kazuki SHIBATA / Naoki YAMADA [6],,,,
Kazuki SHIBATA / Naoki YAMADA [6],21-12 21-11 (0:26),,,,
,,,ZHOU Haodong / TAN Qiang [4],,
"CHOK Ken Wei, Keane / Andy Yew Tung KOK",,,21-12 21-10 (0:30),,
,BEH Chun Meng / GOH Boon Zhe,,,,
BEH Chun Meng / GOH Boon Zhe,21-15 21-13 (0:29),,,,
,,ZHOU Haodong / TAN Qiang [4],,,
CHANG Kai-Hsiang / CHEN Yu-Che,,21-12 21-10 (0:33),,,
,ZHOU Haodong / TAN Qiang [4],,,,
ZHOU Haodong / TAN Qiang [4],21-9 21-15 (0:27),,,,
,,,,ZHOU Haodong / TAN Qiang [4],
LIN Chia Yu / LIN Yong Sheng,,,,21-12 21-17 (0:34),
,Masayuki ONODERA / Daigo TANIOKA,,,,
Masayuki ONODERA / Daigo TANIOKA,15-21 21-18 21-18 (1:00),,,,
,,LIN Bing-Wei / SU Ching Heng [5],,,
CHIA Wei Jie / LIEW Xun,,19-21 22-20 21-15 (1:16),,,
,LIN Bing-Wei / SU Ching Heng [5],,,,
LIN Bing-Wei / SU Ching Heng [5],21-13 21-17 (0:34),,,,
,,,LIN Bing-Wei / SU Ching Heng [5],,
Bo-Yuan CHEN / LI Feng Cheng,,,9-21 22-20 21-17 (0:58),,
,CHIU Hsiang Chieh / LIU Kuang Heng,,,,
CHIU Hsiang Chieh / LIU Kuang Heng,21-9 21-14 (0:22),,,,
,,CHIU Hsiang Chieh / LIU Kuang Heng,,,
BOON Xin Yuan / GOH V Shem,,21-14 21-15 (0:30),,,
,LWI Sheng Hao / Jimmy WONG [2],,,,
LWI Sheng Hao / Jimmy WONG [2],21-13 21-17 (0:34),,,,
,,,,,
