Round 1,Round 2,Round 3,Quarter-final,Semi-final,Final,Winner
Shesar Hiren RHUSTAVITO [1],,,,,,
,Shesar Hiren RHUSTAVITO [1],,,,,
Bye,Bye,,,,,
,,Shesar Hiren RHUSTAVITO [1],,,,
Kartikey GULSHAN KUMAR,,21-9 21-15 (0:36),,,,
,Kartikey GULSHAN KUMAR,,,,,
Ricky TANG,21-18 21-8 (0:37),,,,,
,,,Shesar Hiren RHUSTAVITO [1],,,
Ming Hong LIM,,,21-14 23-21 (0:41),,,
,Ming Hong LIM,,,,,
Bye,Bye,,,,,
,,Ming Hong LIM,,,,
WU Kaian,,15-7 ret. (0:09),,,,
,WU Kaian,,,,,
Jia Wei Joel KOH,18-21 24-22 21-13 (1:23),,,,,
,,,,Shesar Hiren RHUSTAVITO [1],,
KUO Kuan Lin [8],,,,21-17 21-14 (0:39),,
,KUO Kuan Lin [8],,,,,
Bye,Bye,,,,,
,,KUO Kuan Lin [8],,,,
TING Yen-Chen,,8-21 21-16 21-11 (0:54),,,,
,Takuma KAWAMOTO,,,,,
Takuma KAWAMOTO,21-16 19-21 21-16 (1:06),,,,,
,,,KUO Kuan Lin [8],,,
Raghu MARISWAMY,,,24-22 16-21 21-17 (1:19),,,
,Raghu MARISWAMY,,,,,
Bye,Bye,,,,,
,,YANG Yang,,,,
YANG Yang,,21-13 21-13 (0:34),,,,
,YANG Yang,,,,,
Larry PONG,21-16 21-13 (0:38),,,,,
,,,,,LIU Liang,
CHAN Yin Chak [4],,,,,21-9 21-5 (0:26),
,CHAN Yin Chak [4],,,,,
Bye,Bye,,,,,
,,CHAN Yin Chak [4],,,,
Dumindu ABEYWICKRAMA,,21-9 21-15 (0:34),,,,
,HUAN Kai Hern,,,,,
HUAN Kai Hern,21-15 21-16 (0:43),,,,,
,,,CHAN Yin Chak [4],,,
Ahmed NIBAL,,,21-15 21-18 (0:36),,,
,Ahmed NIBAL,,,,,
Bye,Bye,,,,,
,,Panitchaphon TEERARATSAKUL,,,,
Panitchaphon TEERARATSAKUL,,21-6 21-10 (0:25),,,,
,Panitchaphon TEERARATSAKUL,,,,,
Saneeth DAYANAND SHIMOGA,21-18 21-13 (0:38),,,,,
,,,,LIU Liang,,
NGUYEN Hai Dang [5],,,,21-13 16-21 21-18 (1:01),,
,NGUYEN Hai Dang [5],,,,,
Bye,Bye,,,,,
,,LIU Liang,,,,
LIU Liang,,21-19 21-10 (0:38),,,,
,LIU Liang,,,,,
Cheng-Han TSAI,21-10 21-18 (0:32),,,,,
,,,LIU Liang,,,
Krishna Adi NUGRAHA,,,21-15 21-15 (0:40),,,
,Krishna Adi NUGRAHA,,,,,
Bye,Bye,,,,,
,,CHENG Kai,,,,
Ikhsan Leonardo Imanuel RUMBAY,,12-21 21-15 23-21 (1:17),,,,
,CHENG Kai,,,,,
CHENG Kai,21-9 21-19 (0:39),,,,,
,,,,,,WANG Zheng Xing
Xiaodong SHENG,,,,,,21-19 17-21 21-17 (1:03)
,Xiaodong SHENG,,,,,
Shogo OGAWA,21-17 21-19 (0:46),,,,,
,,Xiaodong SHENG,,,,
Bye,,21-17 21-16 (0:43),,,,
,Somi ROMDHANI,,,,,
Somi ROMDHANI,Bye,,,,,
,,,Riku HATANO [7],,,
Korakrit LAOTRAKUL,,,21-16 21-14 (0:41),,,
,Daigo TANIOKA,,,,,
Daigo TANIOKA,21-13 21-14 (0:34),,,,,
,,Riku HATANO [7],,,,
Bye,,21-18 21-6 (0:35),,,,
,Riku HATANO [7],,,,,
Riku HATANO [7],Bye,,,,,
,,,,WANG Zheng Xing,,
Nachakorn PUSRI,,,,22-20 21-8 (0:43),,
,Nachakorn PUSRI,,,,,
Hussein Zayan SHAHEED,21-10 21-8 (0:19),,,,,
,,WANG Zheng Xing,,,,
Bye,,21-16 24-22 (0:47),,,,
,WANG Zheng Xing,,,,,
WANG Zheng Xing,Bye,,,,,
,,,WANG Zheng Xing,,,
Ratchaphol SRITHONG,,,21-10 21-8 (0:26),,,
,PHONE Pyae NAING,,,,,
PHONE Pyae NAING,21-15 21-11 (0:33),,,,,
,,WANG Po-Wei [3],,,,
Bye,,21-16 21-16 (0:36),,,,
,WANG Po-Wei [3],,,,,
WANG Po-Wei [3],Bye,,,,,
,,,,,WANG Zheng Xing,
LIU Ze Qing,,,,,21-16 21-6 (0:38),
,CHEN Chi Ting,,,,,
CHEN Chi Ting,16-21 21-19 21-19 (1:18),,,,,
,,CHEN Chi Ting,,,,
Bye,,21-12 21-6 (0:33),,,,
,Zewel XIE,,,,,
Zewel XIE,Bye,,,,,
,,,DONG Tian Yao,,,
Raymond SING,,,21-19 22-20 (0:55),,,
,DONG Tian Yao,,,,,
DONG Tian Yao,21-6 21-5 (0:20),,,,,
,,DONG Tian Yao,,,,
Bye,,21-15 21-16 (0:46),,,,
,Jason GUNAWAN [6],,,,,
Jason GUNAWAN [6],Bye,,,,,
,,,,DONG Tian Yao,,
MA Cheng-Yi,,,,21-9 18-21 21-16 (1:07),,
,MA Cheng-Yi,,,,,
Kai Chen TEOH,21-10 21-13 (0:33),,,,,
,,HUANG Yu,,,,
Bye,,21-13 21-18 (0:42),,,,
,HUANG Yu,,,,,
HUANG Yu,Bye,,,,,
,,,Ayush SHETTY [2],,,
Koshiro MORIGUCHI,,,21-16 13-21 23-21 (1:06),,,
,Koshiro MORIGUCHI,,,,,
Pang Fong PUI,14-21 21-7 21-15 (0:57),,,,,
,,Ayush SHETTY [2],,,,
Bye,,21-15 15-21 22-20 (1:05),,,,
,Ayush SHETTY [2],,,,,
Ayush SHETTY [2],Bye,,,,,
,,,,,,
