Round 1,Round 2,Quarter-final,Semi-final,Final,Winner
CHIU Hsiang Chieh / LIN Xiao Min [1],,,,,
,CHIU Hsiang Chieh / LIN Xiao Min [1],,,,
GAO Jia Xuan / HUANG Ke Xin,23-21 21-11 (0:31),,,,
,,CHIU Hsiang Chieh / LIN Xiao Min [1],,,
CHENG Kai Wen / LIU Chiao-Yun,,21-18 21-18 (0:27),,,
,CHENG Kai Wen / LIU Chiao-Yun,,,,
Cheng-Han TSAI / LEE Yu-Hsuan,21-13 21-11 (0:21),,,,
,,,ZHANG Hanyu / WU Meng Ying [5],,
ZHANG Hanyu / WU Meng Ying [5],,,20-22 21-17 21-18 (0:57),,
,ZHANG Hanyu / WU Meng Ying [5],,,,
KONA Tarun / Sri Krishna Priya KUDARAVALLI,21-11 21-8 (0:21),,,,
,,ZHANG Hanyu / WU Meng Ying [5],,,
CHEN Sihang / LIN Xin,,21-11 21-13 (0:32),,,
,CHEN Sihang / LIN Xin,,,,
Phuwanat HORBANLUEKIT / Chasinee KOREPAP,18-21 21-15 21-11 (0:50),,,,
,,,,ZHOU Zhi Hong / YANG Jiayi [7],
Pakkapon TEERARATSAKUL / Phataimas MUENWONG [4],,,,22-20 21-14 (0:43),
,Pakkapon TEERARATSAKUL / Phataimas MUENWONG [4],,,,
LI Feng Cheng / HUNG En-Tzu,21-12 21-12 (0:22),,,,
,,Pakkapon TEERARATSAKUL / Phataimas MUENWONG [4],,,
CHEN Xin-Yuan / HUNG Yu- En,,21-7 21-10 (0:24),,,
,CHEN Xin-Yuan / HUNG Yu- En,,,,
Kai Chen TEOH / Kai Qi (Bernice) TEOH,21-9 21-13 (0:19),,,,
,,,ZHOU Zhi Hong / YANG Jiayi [7],,
ZHOU Zhi Hong / YANG Jiayi [7],,,24-22 21-17 (0:49),,
,ZHOU Zhi Hong / YANG Jiayi [7],,,,
LI Hao Ge / ZHENG Yuwen,20-22 21-17 21-15 (1:03),,,,
,,ZHOU Zhi Hong / YANG Jiayi [7],,,
ZHU Yi Jun / LUO Yi,,21-14 19-21 21-10 (0:51),,,
,TING Yen-Chen / WANG Yi Zhen,,,,
TING Yen-Chen / WANG Yi Zhen,21-14 16-21 23-21 (0:50),,,,
,,,,,ZHOU Zhi Hong / YANG Jiayi [7]
CHANG Kai-Hsiang / SUNG Yu-Hsuan,,,,,21-15 21-15 (0:41)
,CHEN Yu-Che / Yuan Chi LIAO [PMD],,,,
CHEN Yu-Che / Yuan Chi LIAO [PMD],21-19 15-21 22-20 (0:41),,,,
,,GUO Xinwa / LI Qian,,,
GUO Xinwa / LI Qian,,21-6 21-10 (0:23),,,
,GUO Xinwa / LI Qian,,,,
Bobby SETIABUDI / Melati Daeva OKTAVIANTI [6],21-15 21-17 (0:29),,,,
,,,GUO Xinwa / LI Qian,,
HUANG Yi Xuan / QIN Hui Zhi,,,21-14 21-16 (0:38),,
,HUANG Yi Xuan / QIN Hui Zhi,,,,
Bo-Yuan CHEN / CHUNG Kan-Yu,21-19 21-15 (0:32),,,,
,,MA Xi Xiang / TANG Rui Zhi,,,
MA Xi Xiang / TANG Rui Zhi,,15-21 21-16 21-10 (0:52),,,
,MA Xi Xiang / TANG Rui Zhi,,,,
LIN Bing-Wei / LIN Chih-Chun [3],12-21 21-15 21-16 (0:49),,,,
,,,,GUO Xinwa / LI Qian,
Yuichi SHIMOGAMI / Sayaka HOBARA,,,,21-19 21-15 (0:40),
,Yuichi SHIMOGAMI / Sayaka HOBARA,,,,
CHIANG Chien-Wei / Nicole Gonzales CHAN,21-19 21-15 (0:32),,,,
,,Yuichi SHIMOGAMI / Sayaka HOBARA,,,
Ming Yap TOO / Xuan LIM,,21-11 21-10 (0:31),,,
,HUANG Jui-Hsuan / HSIEH Pei Shan [8],,,,
HUANG Jui-Hsuan / HSIEH Pei Shan [8],21-9 21-6 (0:18),,,,
,,,Yuichi SHIMOGAMI / Sayaka HOBARA,,
SHANG Yichen / LIN Fangling,,,21-18 18-21 21-18 (1:06),,
,SHANG Yichen / LIN Fangling,,,,
LEONG Iok Chong / Weng Chi NG,21-15 21-17 (0:29),,,,
,,SHANG Yichen / LIN Fangling,,,
MA Cheng-Yi / LIN YEN YU,,14-21 21-17 21-14 (0:51),,,
,WU Hsuan-Yi / YANG Chu Yun [2],,,,
WU Hsuan-Yi / YANG Chu Yun [2],21-15 21-11 (0:23),,,,
,,,,,
