category,round,player_a_rank,player_a,score,player_b,player_b_rank,duration_minutes,category_code,category_label
MD (qual),Round 1,,Marvin DATKO / Jarne SCHLEVOIGT,14-11 Ret.,Felix HAMMES / Christopher KLAUER,,10,MD,Men's Doubles
MD (qual),Round 1,,VíT KULÍŠEK / Tomáš ŠVEJDA,W.O.,Andy BUIJK / Timo STOFFELEN,,0,MD,Men's Doubles
MD (qual),Round 1,,Ties VAN DER LECQ / Brian WASSINK,21-15 / 21-12,David ECKERLIN / Simon KRAX,,27,MD,Men's Doubles
MD (qual),Round 1,,Mads GADEGAARD / Oliver GEISLER,21-0 / 21-1,David LI / Raymond WEBSTER,,14,MD,Men's Doubles
MD,Round 1,,ONG Yew Sin / TEO Ee Yi,21-13 / 21-14,Eloi ADAM / Leo ROSSI,,33,MD,Men's Doubles
MD,Round 1,,Daniel LUNDGAARD / Mads VESTERGAARD,26-24 / 18-21 / 21-14,CHEN Cheng Kuan / CHEN Sheng Fa,,72,MD,Men's Doubles
MD,Round 1,,LU Ching Yao / YANG Po Han,21-16 / 21-18,Torjus FLAATTEN / Vegard RIKHEIM,,35,MD,Men's Doubles
MD,Round 1,,Christopher GRIMLEY / Matthew GRIMLEY,21-19 / 17-21 / 21-16,William Kryger BOE / Christian Faust KJÆR,,58,MD,Men's Doubles
MD,Round 1,,HE Jiting / REN Xiangyu,21-4 / 21-6,VíT KULÍŠEK / Tomáš ŠVEJDA,,26,MD,Men's Doubles
MD,Round 1,,Job CASTILLO / Luis Armando MONTOYA NAVARRO,21-17 / 21-15,Ivan RUSEV / Iliyan STOYNOV,,37,MD,Men's Doubles
MD,Round 1,,Mark LAMSFUSS / Marvin SEIDEL,14-21 / 21-13 / 21-17,Bjarne GEISS / Jan Colin VÖLKER,,51,MD,Men's Doubles
MD,Round 1,,Andreas SØNDERGAARD / Jesper TOFT,21-16 / 21-17,Marvin DATKO / Jarne SCHLEVOIGT,,32,MD,Men's Doubles
MD,Round 1,,CHANG Ko-Chi / PO Li-Wei,21-16 / 21-14,Lucas CORVEE / Ronan LABAR,,32,MD,Men's Doubles
MD,Round 1,,Alexander DUNN / Adam HALL,21-13 / 21-18,Joshua MAGEE / Paul REYNOLDS,,32,MD,Men's Doubles
MD,Round 1,,Ondrej KRÁL / Adam MENDREK,21-18 / 21-10,Mads GADEGAARD / Oliver GEISLER,,33,MD,Men's Doubles
MD,Round 1,,Rasmus KJÆR / Frederik SØGAARD,16-21 / 21-10 / 21-17,Ties VAN DER LECQ / Brian WASSINK,,54,MD,Men's Doubles
