Country,Wins,Losses,PCT
Korea,2,1,66.7%
China,130,71,64.7%
Hong Kong,16,12,57.1%
Japan,18,14,56.2%
Indonesia,7,7,50.0%
Myanmar,1,1,50.0%
Chinese Taipei,34,51,40.0%
Canada,2,3,40.0%
Macau,5,8,38.5%
Malaysia,8,23,25.8%
Thailand,1,4,20.0%
Singapore,1,5,16.7%
Australia,1,6,14.3%
Cyprus,0,1,0.0%
England,0,2,0.0%
Sri Lanka,0,2,0.0%
Venezuela,0,2,0.0%
U.S.A.,0,2,0.0%
Vietnam,0,2,0.0%
India,0,3,0.0%
New Zealand,0,3,0.0%
United Arab Emirates,0,3,0.0%
