Category,Matches,Total Sets,3-Set Matches,3-Set PCT,Total Points,Avg Points / Match,Avg Match Duration,Avg Points / Minute,One-Hour+ Matches,One-Hour+ Matches PCT
MD,31,75,13,41.9%,2755,88.87,00:41:52,2.12,4,12.9%
MS,47,109,15,31.9%,3817,81.21,00:44:22,1.83,6,12.8%
WD,29,68,10,34.5%,2422,83.52,00:48:04,1.74,7,24.1%
WS,31,72,10,32.3%,2585,83.39,00:44:12,1.89,5,16.1%
XD,31,71,9,29.0%,2548,82.19,00:37:37,2.19,3,9.7%
Total,169,395,57,33.7%,14127,83.59,00:43:16,1.93,25,14.8%
