Qualifier
Amelie LEHMANN / Cara SIEBRECHT
""
Bye
""
Polina BUHROVA / Yevheniia KANTEMYR
""
Bye
""
Bye
""
Anna HAGSPIEL / Lena RUMPOLD
""
Bye
""
Nina BECKER / Louisa MARBURGER
""
