Category,Matches,Total Sets,3-Set Matches,3-Set PCT,Total Points,Avg Points / Match,Avg Match Duration,Avg Points / Minute,One-Hour+ Matches,One-Hour+ Matches PCT
MD,31,72,10,32.3%,2685,86.61,00:44:19,1.95,3,9.7%
MS,31,80,18,58.1%,2911,93.9,00:57:00,1.65,13,41.9%
WD,30,69,9,30.0%,2449,81.63,00:46:10,1.77,7,23.3%
WS,29,67,9,31.0%,2486,85.72,00:46:04,1.86,6,20.7%
XD,30,72,12,40.0%,2683,89.43,00:44:56,1.99,7,23.3%
Total,151,360,58,38.4%,13214,87.51,00:47:45,1.83,36,23.8%
