Country,Wins,Losses,PCT
Korea,5,1,83.3%
Vietnam,4,1,80.0%
Singapore,11,3,78.6%
Netherlands,9,4,69.2%
Japan,19,9,67.9%
U.S.A.,2,1,66.7%
Bulgaria,7,4,63.6%
China,13,8,61.9%
Hong Kong,3,2,60.0%
France,16,13,55.2%
Denmark,19,16,54.3%
Indonesia,8,8,50.0%
Russia,1,1,50.0%
Turkey,1,1,50.0%
Israel,1,1,50.0%
India,20,21,48.8%
Chinese Taipei,19,23,45.2%
Malaysia,9,12,42.9%
Germany,4,8,33.3%
England,3,6,33.3%
Scotland,2,5,28.6%
Spain,1,3,25.0%
Canada,1,3,25.0%
Czech Republic,1,3,25.0%
Brazil,1,5,16.7%
