Country,Wins,Losses,PCT
China,91,53,63.2%
Japan,29,17,63.0%
Thailand,14,10,58.3%
Canada,3,3,50.0%
Hong Kong,2,2,50.0%
Chinese Taipei,54,60,47.4%
Vietnam,5,6,45.5%
India,5,7,41.7%
Myanmar,1,2,33.3%
Indonesia,3,7,30.0%
Malaysia,14,34,29.2%
Australia,2,8,20.0%
Singapore,1,4,20.0%
,0,1,0.0%
Italy,0,1,0.0%
Great Britain,0,1,0.0%
Brunei Darussalem,0,1,0.0%
Sri Lanka,0,1,0.0%
Macau,0,2,0.0%
England,0,2,0.0%
Maldives,0,2,0.0%
