Players,Opponents,Category,Round,Set,Streak,Details
DONG Tian Yao,Raymond SING,MS,Round 1,1,14,View
Mizuki OTAKE / Miyu TAKAHASHI,HUNG Hsin En / HUNG Yu- En,WD,Round 1,2,14,View
TUNG Ciou-Tong,LEE Yu-Hsuan,WS,Round 1,2,13,View
WU Kaian,NG In Qin,MS,Round 1,1,11,View
LIAO Pin Yi / MA Xi Xiang,Shawn HIU / Hong Jun KASH LEE,MD,Round 1,2,11,View
DONG Tian Yao,Raymond SING,MS,Round 1,2,11,View
DAI Wang,Ling Ching WONG,WS,Round 1,2,11,View
Kokona ISHIKAWA / Mio KONEGAWA,GO Pei Kee / LOW Yeen Yuan,WD,Round 2,1,11,View
ZHOU Haodong / TAN Qiang,Kazuki SHIBATA / Naoki YAMADA,MD,Quarter-final,1,11,View
YANG Jing Rui,LYU Xuezhou,WS,Round 2,2,10,View
