Category,Matches,Total Sets,3-Set Matches,3-Set PCT,Total Points,Avg Points / Match,Avg Match Duration,Avg Points / Minute,One-Hour+ Matches,One-Hour+ Matches PCT
MD,31,72,10,32.3%,2593,83.65,00:41:06,2.04,5,16.1%
MS,46,104,12,26.1%,3697,80.37,00:44:50,1.79,10,21.7%
WD,30,68,8,26.7%,2432,81.07,00:46:04,1.76,6,20.0%
WS,30,66,6,20.0%,2397,79.9,00:44:18,1.8,4,13.3%
XD,31,72,10,32.3%,2580,83.23,00:37:15,2.23,2,6.5%
Total,168,382,46,27.4%,13699,81.54,00:42:52,1.9,27,16.1%
