Category,Matches,Total Sets,3-Set Matches,3-Set PCT,Total Points,Avg Points / Match,Avg Match Duration,Avg Points / Minute,One-Hour+ Matches,One-Hour+ Matches PCT
MD,31,71,9,29.0%,2574,83.03,00:40:41,2.04,4,12.9%
MS,30,77,17,56.7%,2858,95.27,01:01:14,1.56,17,56.7%
WD,31,70,8,25.8%,2420,78.06,00:42:00,1.86,5,16.1%
WS,31,71,9,29.0%,2470,79.68,00:42:08,1.89,5,16.1%
XD,30,70,10,33.3%,2544,84.8,00:40:50,2.08,4,13.3%
Total,153,359,53,34.6%,12866,84.09,00:45:18,1.86,35,22.9%
