Year,Winner,Runner-up,Final Score
2025,SUN Chao,ZHOU Xin Yu,21-15 / 21-17
2024,WANG Zheng Xing,LIU Liang,21-19 / 17-21 / 21-17
2023,SUN Feixiang,SUN Chao,21-15 / 21-14
2019,WENG Hongyang,LIU Haichao,21-7 / 21-7
2018,LIN Yu Hsien,LU Guangzu,12-21 / 21-12 / 21-14
2017,SUN Feixiang,ZHAO Junpeng,11-9 / 11-7 / 13-11
2016,LIN Guipu,ZHAO Junpeng,21-7 / 22-20
2015,QIAO Bin,Kazumasa SAKAI,21-14 / 21-12
2014,NG Ka Long Angus,WEI Nan,21-16 / 21-15
2001,GUO Jianhua,GUO Zhendong,15-3 / 15-8
