category,round,player_a_rank,player_a,score,player_b,player_b_rank,duration_minutes,category_code,category_label
WD,Round 2,,CHEN Xiaofei / FENG Xueying,21-16 / 22-24 / 21-17,Mizuki OTAKE / Miyu TAKAHASHI,,68,WD,Women's Doubles
WD,Round 2,,Kokona ISHIKAWA / Mio KONEGAWA,21-8 / 21-19,GO Pei Kee / LOW Yeen Yuan,,44,WD,Women's Doubles
WD,Round 2,,HUNG En-Tzu / LIN Yu-Pei,21-16 / 21-18,Miki KANEHIRO / Rui KIYAMA,,47,WD,Women's Doubles
WD,Quarter-final,,Laksika KANLAHA / Phataimas MUENWONG,21-19 / 21-17,Maiko KAWAZOE / Riko KIYOSE,,46,WD,Women's Doubles
WD,Quarter-final,,BAO Li Jing / TANG Rui Zhi,20-22 / 21-12 / 21-12,HUANG Ke Xin / WU Meng Ying,,75,WD,Women's Doubles
WD,Quarter-final,,CHEN Xiaofei / FENG Xueying,21-18 / 21-16,LIN Chih-Chun / SUNG Yu-Hsuan,,34,WD,Women's Doubles
WD,Quarter-final,,Kokona ISHIKAWA / Mio KONEGAWA,21-17 / 21-14,HUNG En-Tzu / LIN Yu-Pei,,43,WD,Women's Doubles
WD,Semi-final,,Laksika KANLAHA / Phataimas MUENWONG,21-17 / 21-12,BAO Li Jing / TANG Rui Zhi,,58,WD,Women's Doubles
WD,Semi-final,,CHEN Xiaofei / FENG Xueying,21-18 / 18-21 / 21-16,Kokona ISHIKAWA / Mio KONEGAWA,,88,WD,Women's Doubles
WD,Final,,Laksika KANLAHA / Phataimas MUENWONG,17-21 / 21-15 / 21-16,CHEN Xiaofei / FENG Xueying,,77,WD,Women's Doubles
WS (qual),Round 1,,Sakura MASUKI,13-21 / 21-17 / 21-10,GUO Xin Yi,,52,WS,Women's Singles
WS (qual),Round 1,,HAN Qianxi,17-21 / 21-14 / 21-12,WU Yuqi,,45,WS,Women's Singles
WS (qual),Round 1,,QIU Ziying,21-8 / 21-9,Cassey Rynn ROMPOG,,24,WS,Women's Singles
WS (qual),Round 1,,WU Wei,21-10 / 21-12,Ngoc Van LE,,24,WS,Women's Singles
WS (qual),Round 1,,YANG Jing Rui,21-17 / 18-21 / 27-25,CAI Yanyan,,68,WS,Women's Singles
WS (qual),Round 1,,LYU Xuezhou,21-19 / 21-16,HUANG Yu Wei,,36,WS,Women's Singles
WS (qual),Round 1,,HSIEH Yun-Shan,21-15 / 21-15,Sarah NGU,,31,WS,Women's Singles
WS (qual),Round 1,,ZHANG Xin Ran,21-11 / 21-8,Yuan Chi LIAO,,26,WS,Women's Singles
WS (qual),Round 2,,HAN Qianxi,21-16 / 19-21 / 21-17,Sakura MASUKI,,60,WS,Women's Singles
WS (qual),Round 2,,QIU Ziying,21-11 / 21-17,WU Wei,,37,WS,Women's Singles
WS (qual),Round 2,,YANG Jing Rui,19-21 / 21-14 / 21-12,LYU Xuezhou,,49,WS,Women's Singles
WS (qual),Round 2,,ZHANG Xin Ran,21-14 / 21-9,HSIEH Yun-Shan,,27,WS,Women's Singles
WS,Round 1,,Letshanaa A. KARUPATHEVAN,21-11 / 21-16,Kasturi RADHAKRISHNAN,,31,WS,Women's Singles
WS,Round 1,,HAN Qianxi,21-13 / 21-11,YANG Jing Rui,,30,WS,Women's Singles
WS,Round 1,,WU Luoyu,21-11 / 22-20,Akari KURIHARA,,41,WS,Women's Singles
WS,Round 1,,Kaoru SUGIYAMA,21-10 / 21-16,Joanne NG,,33,WS,Women's Singles
WS,Round 1,,HUANG Ching Ping,21-15 / 21-13,Yulia Yosephin SUSANTO,,37,WS,Women's Singles
WS,Round 1,,QIU Ziying,21-8 / 21-9,Kai Qi (Bernice) TEOH,,26,WS,Women's Singles
WS,Round 1,,TUNG Ciou-Tong,21-16 / 21-8,LEE Yu-Hsuan,,34,WS,Women's Singles
WS,Round 1,,ZHANG Xin Ran,21-18 / 21-13,CHEN Su Yu,,32,WS,Women's Singles
WS,Round 1,,Thi Anh Thu VU,21-16 / 21-12,PENG Yu Wei,,27,WS,Women's Singles
WS,Round 1,,KISONA Selvaduray,21-14 / 25-23,INSYIRAH Khan,,43,WS,Women's Singles
WS,Round 1,,Thi Trang (B) VU,21-11 / 21-7,Nutnalin RATTANAPANUWONG,,25,WS,Women's Singles
WS,Round 1,,DAI Wang,21-12 / 21-16,Ling Ching WONG,,40,WS,Women's Singles
WS,Round 1,,YANG Yu-Chi,21-18 / 21-19,Riko GUNJI,,48,WS,Women's Singles
WS,Round 1,,LIN Sih Yun,21-23 / 21-15 / 21-15,Nurani Ratu AZZAHRA,,54,WS,Women's Singles
WS,Round 1,,HUNG Yi-Ting,21-16 / 21-18,LOH Zhi Wei,,31,WS,Women's Singles
WS,Round 1,,CHIU Pin-Chian,21-12 / 21-11,HAN Yu Chen,,28,WS,Women's Singles
WS,Round 2,,HAN Qianxi,23-21 / 21-18,Letshanaa A. KARUPATHEVAN,,47,WS,Women's Singles
WS,Round 2,,Kaoru SUGIYAMA,21-8 / 21-15,WU Luoyu,,46,WS,Women's Singles
WS,Round 2,,QIU Ziying,22-20 / 19-21 / 22-20,HUANG Ching Ping,,77,WS,Women's Singles
WS,Round 2,,ZHANG Xin Ran,18-21 / 21-18 / 21-9,TUNG Ciou-Tong,,59,WS,Women's Singles
WS,Round 2,,Thi Anh Thu VU,21-9 / 11-3 Ret.,KISONA Selvaduray,,20,WS,Women's Singles
WS,Round 2,,DAI Wang,21-13 / 21-13,Thi Trang (B) VU,,39,WS,Women's Singles
WS,Round 2,,YANG Yu-Chi,21-14 / 21-14,LIN Sih Yun,,34,WS,Women's Singles
WS,Round 2,,CHIU Pin-Chian,22-20 / 21-17,HUNG Yi-Ting,,36,WS,Women's Singles
WS,Quarter-final,,Kaoru SUGIYAMA,21-16 / 21-19,HAN Qianxi,,53,WS,Women's Singles
WS,Quarter-final,,QIU Ziying,21-18 / 21-14,ZHANG Xin Ran,,42,WS,Women's Singles
WS,Quarter-final,,DAI Wang,21-14 / 21-9,Thi Anh Thu VU,,33,WS,Women's Singles
WS,Quarter-final,,CHIU Pin-Chian,21-15 / 21-16,YANG Yu-Chi,,43,WS,Women's Singles
WS,Semi-final,,Kaoru SUGIYAMA,23-25 / 21-17 / 21-9,QIU Ziying,,96,WS,Women's Singles
WS,Semi-final,,CHIU Pin-Chian,21-13 / 23-25 / 23-21,DAI Wang,,91,WS,Women's Singles
WS,Final,,Kaoru SUGIYAMA,21-14 / 14-21 / 21-13,CHIU Pin-Chian,,73,WS,Women's Singles
XD (qual),Round 1,,HUANG Yi Xuan / QIN Hui Zhi,21-13 / 22-20,WANG Hao Yuan / HAN Yu Xin,,27,XD,Mixed Doubles
XD (qual),Round 1,,SHANG Yichen / LIN Fangling,21-9 / 21-8,Rohith MOHANKUMAR / Riduvarshini RAMASAMY,,27,XD,Mixed Doubles
XD (qual),Round 1,,Yuichi SHIMOGAMI / Sayaka HOBARA,21-16 / 21-16,LIAO Pin Yi / BAO Li Jing,,34,XD,Mixed Doubles
XD (qual),Round 2,,HUANG Yi Xuan / QIN Hui Zhi,W.O.,CHEN Yu-Che / Yuan Chi LIAO,,0,XD,Mixed Doubles
XD (qual),Round 2,,GAO Jia Xuan / HUANG Ke Xin,21-14 / 17-21 / 21-17,ZHANG Kun Zhong / ZHANG Kai Xuan,,53,XD,Mixed Doubles
XD (qual),Round 2,,SHANG Yichen / LIN Fangling,21-15 / 21-15,TAO Ze Yu / HU Qian Hui,,26,XD,Mixed Doubles
XD (qual),Round 2,,Yuichi SHIMOGAMI / Sayaka HOBARA,21-9 / 21-5,Zhi-Wei HE / LIN Yu-Pei,,20,XD,Mixed Doubles
XD,Round 1,,CHIU Hsiang Chieh / LIN Xiao Min,23-21 / 21-11,GAO Jia Xuan / HUANG Ke Xin,,31,XD,Mixed Doubles
XD,Round 1,,CHENG Kai Wen / LIU Chiao-Yun,21-13 / 21-11,Cheng-Han TSAI / LEE Yu-Hsuan,,21,XD,Mixed Doubles
XD,Round 1,,ZHANG Hanyu / WU Meng Ying,21-11 / 21-8,KONA Tarun / Sri Krishna Priya KUDARAVALLI,,21,XD,Mixed Doubles
XD,Round 1,,CHEN Sihang / LIN Xin,18-21 / 21-15 / 21-11,Phuwanat HORBANLUEKIT / Chasinee KOREPAP,,50,XD,Mixed Doubles
XD,Round 1,,Pakkapon TEERARATSAKUL / Phataimas MUENWONG,21-12 / 21-12,LI Feng Cheng / HUNG En-Tzu,,22,XD,Mixed Doubles
XD,Round 1,,CHEN Xin-Yuan / HUNG Yu- En,21-9 / 21-13,Kai Chen TEOH / Kai Qi (Bernice) TEOH,,19,XD,Mixed Doubles
XD,Round 1,,ZHOU Zhi Hong / YANG Jiayi,20-22 / 21-17 / 21-15,LI Hao Ge / ZHENG Yuwen,,63,XD,Mixed Doubles
XD,Round 1,,TING Yen-Chen / WANG Yi Zhen,21-14 / 16-21 / 23-21,ZHU Yi Jun / LUO Yi,,50,XD,Mixed Doubles
XD,Round 1,,CHEN Yu-Che / Yuan Chi LIAO,21-19 / 15-21 / 22-20,CHANG Kai-Hsiang / SUNG Yu-Hsuan,,41,XD,Mixed Doubles
XD,Round 1,,GUO Xinwa / LI Qian,21-15 / 21-17,Bobby SETIABUDI / Melati Daeva OKTAVIANTI,,29,XD,Mixed Doubles
