category,round,player_a_rank,player_a,score,player_b,player_b_rank,duration_minutes,category_code,category_label
MD (qual),Round 1,,SUN Wen Jun / ZHU Yi Jun,19-21 / 21-16 / 21-17,XU Hua Yu / ZHANG Le Jian,,68,MD,Men's Doubles
MD (qual),Round 1,,GAO Jia Xuan / ZHANG Kun Zhong,21-13 / 21-15,LIN Yi / YAN Yuhang,,30,MD,Men's Doubles
MD (qual),Round 1,,CHENG Kai Wen / LIAO Chao Pang,15-21 / 21-16 / 21-11,Lap Kan Kern PONG / Larry PONG,,42,MD,Men's Doubles
MD (qual),Round 1,,LIAO Pin Yi / MA Xi Xiang,21-7 / 21-6,Shawn HIU / Hong Jun KASH LEE,,18,MD,Men's Doubles
MD (qual),Round 1,,Bo-Yuan CHEN / LI Feng Cheng,21-18 / 21-17,KOK Jia Cheng / Mohamed Faris Amrin MOHD ROSLAN,,28,MD,Men's Doubles
MD (qual),Round 1,,Mahiro KANEKO / Shunya OTA,21-16 / 21-15,CHEN Xin-Yuan / TING Yen-Chen,,28,MD,Men's Doubles
MD (qual),Round 1,,Tze Jian LIM / Tien Ci WONG,21-17 / 21-14,GOH Shao Tang / Ming Kang TAN,,26,MD,Men's Doubles
MD (qual),Round 1,,LIANG Yongwang / ZHU Yan Peng,22-20 / 21-15,MA Shang / ZHU Haiyuan,,37,MD,Men's Doubles
MD (qual),Round 2,,SUN Wen Jun / ZHU Yi Jun,19-21 / 21-16 / 21-13,GAO Jia Xuan / ZHANG Kun Zhong,,48,MD,Men's Doubles
MD (qual),Round 2,,CHENG Kai Wen / LIAO Chao Pang,21-19 / 23-25 / 21-15,LIAO Pin Yi / MA Xi Xiang,,53,MD,Men's Doubles
MD (qual),Round 2,,Bo-Yuan CHEN / LI Feng Cheng,12-21 / 21-18 / 21-17,Mahiro KANEKO / Shunya OTA,,54,MD,Men's Doubles
MD (qual),Round 2,,Tze Jian LIM / Tien Ci WONG,21-14 / 21-16,LIANG Yongwang / ZHU Yan Peng,,38,MD,Men's Doubles
MD,Round 1,,Peeratchai SUKPHUN / Pakkapon TEERARATSAKUL,12-21 / 21-9 / 21-14,PAN Yin Han / REN Chengming,,42,MD,Men's Doubles
MD,Round 1,,CHEN Xujun / GUO Ruohan,21-18 / 21-17,YAO Zhidi / ZHANG Nan,,38,MD,Men's Doubles
MD,Round 1,,CUI He Chen / PENG Jian Qin,21-5 / 21-17,Sirawit SOTHON / Natthapat TRINKAJEE,,33,MD,Men's Doubles
MD,Round 1,,Tanadon PUNPANICH / Wachirawit SOTHON,21-13 / 21-15,LIU Zi Jie / XU Jia Jun,,34,MD,Men's Doubles
MD,Round 1,,CHIANG Chien-Wei / WU Hsuan-Yi,21-13 / 21-15,LAU Yi Sheng / Yi Bo LEE,,29,MD,Men's Doubles
MD,Round 1,,DENG Cheng Hao / FAN Jun Lin,21-14 / 21-9,Dingku Singh KONTHOUJAM / Amaan MOHAMMAD,,21,MD,Men's Doubles
MD,Round 1,,Nur Mohd Azriyn Ayub AZRIYN / TAN Wee Kiong,21-19 / 21-17,Zhi-Wei HE / HUANG Jui-Hsuan,,30,MD,Men's Doubles
MD,Round 1,,SUN Wen Jun / ZHU Yi Jun,21-19 / 18-21 / 21-18,Tze Jian LIM / Tien Ci WONG,,55,MD,Men's Doubles
MD,Round 1,,CHENG Kai Wen / LIAO Chao Pang,21-19 / 21-13,Takumi NOMURA / Yuichi SHIMOGAMI,,34,MD,Men's Doubles
MD,Round 1,,Kazuki SHIBATA / Naoki YAMADA,21-12 / 21-11,Huaidong TANG / Zewel XIE,,26,MD,Men's Doubles
MD,Round 1,,BEH Chun Meng / GOH Boon Zhe,21-15 / 21-13,"CHOK Ken Wei, Keane / Andy Yew Tung KOK",,29,MD,Men's Doubles
MD,Round 1,,ZHOU Haodong / TAN Qiang,21-9 / 21-15,CHANG Kai-Hsiang / CHEN Yu-Che,,27,MD,Men's Doubles
MD,Round 1,,Masayuki ONODERA / Daigo TANIOKA,15-21 / 21-18 / 21-18,LIN Chia Yu / LIN Yong Sheng,,60,MD,Men's Doubles
MD,Round 1,,LIN Bing-Wei / SU Ching Heng,21-13 / 21-17,CHIA Wei Jie / LIEW Xun,,34,MD,Men's Doubles
MD,Round 1,,CHIU Hsiang Chieh / LIU Kuang Heng,21-9 / 21-14,Bo-Yuan CHEN / LI Feng Cheng,,22,MD,Men's Doubles
MD,Round 1,,LWI Sheng Hao / Jimmy WONG,21-13 / 21-17,BOON Xin Yuan / GOH V Shem,,34,MD,Men's Doubles
MD,Round 2,,CHEN Xujun / GUO Ruohan,17-21 / 22-20 / 21-18,Peeratchai SUKPHUN / Pakkapon TEERARATSAKUL,,76,MD,Men's Doubles
MD,Round 2,,CUI He Chen / PENG Jian Qin,21-17 / 17-21 / 21-9,Tanadon PUNPANICH / Wachirawit SOTHON,,66,MD,Men's Doubles
MD,Round 2,,CHIANG Chien-Wei / WU Hsuan-Yi,11-21 / 21-18 / 21-9,DENG Cheng Hao / FAN Jun Lin,,42,MD,Men's Doubles
MD,Round 2,,Nur Mohd Azriyn Ayub AZRIYN / TAN Wee Kiong,25-23 / 8-21 / 21-15,SUN Wen Jun / ZHU Yi Jun,,56,MD,Men's Doubles
MD,Round 2,,Kazuki SHIBATA / Naoki YAMADA,21-18 / 21-15,CHENG Kai Wen / LIAO Chao Pang,,41,MD,Men's Doubles
MD,Round 2,,ZHOU Haodong / TAN Qiang,21-12 / 21-10,BEH Chun Meng / GOH Boon Zhe,,33,MD,Men's Doubles
MD,Round 2,,LIN Bing-Wei / SU Ching Heng,19-21 / 22-20 / 21-15,Masayuki ONODERA / Daigo TANIOKA,,76,MD,Men's Doubles
MD,Round 2,,CHIU Hsiang Chieh / LIU Kuang Heng,21-14 / 21-15,LWI Sheng Hao / Jimmy WONG,,30,MD,Men's Doubles
MD,Quarter-final,,CUI He Chen / PENG Jian Qin,21-16 / 16-21 / 21-17,CHEN Xujun / GUO Ruohan,,65,MD,Men's Doubles
MD,Quarter-final,,CHIANG Chien-Wei / WU Hsuan-Yi,22-20 / 21-18,Nur Mohd Azriyn Ayub AZRIYN / TAN Wee Kiong,,38,MD,Men's Doubles
MD,Quarter-final,,ZHOU Haodong / TAN Qiang,21-12 / 21-10,Kazuki SHIBATA / Naoki YAMADA,,30,MD,Men's Doubles
MD,Quarter-final,,LIN Bing-Wei / SU Ching Heng,9-21 / 22-20 / 21-17,CHIU Hsiang Chieh / LIU Kuang Heng,,58,MD,Men's Doubles
MD,Semi-final,,CHIANG Chien-Wei / WU Hsuan-Yi,21-16 / 21-17,CUI He Chen / PENG Jian Qin,,39,MD,Men's Doubles
MD,Semi-final,,ZHOU Haodong / TAN Qiang,21-12 / 21-17,LIN Bing-Wei / SU Ching Heng,,34,MD,Men's Doubles
MD,Final,,ZHOU Haodong / TAN Qiang,21-18 / 21-15,CHIANG Chien-Wei / WU Hsuan-Yi,,42,MD,Men's Doubles
MS (qual),Round 1,,MA Cheng-Yi,21-17 / 21-15,ZHU Xuan Chen,,43,MS,Men's Singles
MS (qual),Round 1,,Hing Long WONG,21-6 / 21-6,Takeru KAI,,17,MS,Men's Singles
MS (qual),Round 1,,Saneeth DAYANAND SHIMOGA,19-21 / 21-9 / 21-12,Luca ZHOU,,52,MS,Men's Singles
MS (qual),Round 1,,"CHOK Ken Wei, Keane",21-9 / 21-8,CHUN KAR LUNG,,20,MS,Men's Singles
MS (qual),Round 1,,CHENG Kai,21-19 / 15-21 / 21-17,Hein HTUT,,56,MS,Men's Singles
MS (qual),Round 1,,Ze Xi SEAN NGU,21-10 / 21-13,Micaiah Jien Zheng CHAI,,30,MS,Men's Singles
MS (qual),Round 1,,WU Kaian,21-7 / 21-9,NG In Qin,,32,MS,Men's Singles
MS (qual),Round 1,,Andy Yew Tung KOK,21-12 / 19-21 / 21-12,Zong Han LEE,,51,MS,Men's Singles
MS (qual),Round 1,,Nachakorn PUSRI,21-14 / 21-9,TING Wen Xuan,,31,MS,Men's Singles
MS (qual),Round 1,,Thanh Dat BUI,21-10 / 21-17,Kah Kit KAN,,30,MS,Men's Singles
MS (qual),Round 1,,Juin An YAP,21-8 / 21-12,Tien Ann PAR,,32,MS,Men's Singles
MS (qual),Round 1,,Zewel XIE,21-15 / 17-21 / 21-19,Jin Hong TEH,,57,MS,Men's Singles
MS (qual),Round 1,,Chung-Hsiang YIH,21-11 / 21-15,TAN Mun Dick,,30,MS,Men's Singles
MS (qual),Round 1,,Daigo TANIOKA,21-12 / 21-15,Sam YUAN,,30,MS,Men's Singles
MS (qual),Round 1,,LIU Ze Qing,21-7 / 21-13,TEO Wei Jun,,19,MS,Men's Singles
MS (qual),Round 1,,Tien Minh NGUYEN,21-16 / 21-15,TAN Zheng Tseng,,44,MS,Men's Singles
MS (qual),Round 2,,MA Cheng-Yi,21-10 / 20-22 / 21-10,Hing Long WONG,,50,MS,Men's Singles
MS (qual),Round 2,,Saneeth DAYANAND SHIMOGA,21-11 / 21-10,"CHOK Ken Wei, Keane",,28,MS,Men's Singles
MS (qual),Round 2,,CHENG Kai,21-9 / 21-7,Ze Xi SEAN NGU,,24,MS,Men's Singles
MS (qual),Round 2,,WU Kaian,21-8 / 21-12,Andy Yew Tung KOK,,29,MS,Men's Singles
MS (qual),Round 2,,Nachakorn PUSRI,21-17 / 21-19,Thanh Dat BUI,,42,MS,Men's Singles
MS (qual),Round 2,,Zewel XIE,21-15 / 21-11,Juin An YAP,,32,MS,Men's Singles
MS (qual),Round 2,,Daigo TANIOKA,21-15 / 21-6,Chung-Hsiang YIH,,26,MS,Men's Singles
MS (qual),Round 2,,LIU Ze Qing,21-19 / 21-12,Tien Minh NGUYEN,,43,MS,Men's Singles
MS,Round 1,,Kartikey GULSHAN KUMAR,21-18 / 21-8,Ricky TANG,,37,MS,Men's Singles
MS,Round 1,,WU Kaian,18-21 / 24-22 / 21-13,Jia Wei Joel KOH,,83,MS,Men's Singles
MS,Round 1,,Takuma KAWAMOTO,21-16 / 19-21 / 21-16,TING Yen-Chen,,66,MS,Men's Singles
MS,Round 1,,YANG Yang,21-16 / 21-13,Larry PONG,,38,MS,Men's Singles
MS,Round 1,,HUAN Kai Hern,21-15 / 21-16,Dumindu ABEYWICKRAMA,,43,MS,Men's Singles
MS,Round 1,,Panitchaphon TEERARATSAKUL,21-18 / 21-13,Saneeth DAYANAND SHIMOGA,,38,MS,Men's Singles
MS,Round 1,,LIU Liang,21-10 / 21-18,Cheng-Han TSAI,,32,MS,Men's Singles
MS,Round 1,,CHENG Kai,21-9 / 21-19,Ikhsan Leonardo Imanuel RUMBAY,,39,MS,Men's Singles
MS,Round 1,,Xiaodong SHENG,21-17 / 21-19,Shogo OGAWA,,46,MS,Men's Singles
MS,Round 1,,Daigo TANIOKA,21-13 / 21-14,Korakrit LAOTRAKUL,,34,MS,Men's Singles
MS,Round 1,,Nachakorn PUSRI,21-10 / 21-8,Hussein Zayan SHAHEED,,19,MS,Men's Singles
MS,Round 1,,PHONE Pyae NAING,21-15 / 21-11,Ratchaphol SRITHONG,,33,MS,Men's Singles
MS,Round 1,,CHEN Chi Ting,16-21 / 21-19 / 21-19,LIU Ze Qing,,78,MS,Men's Singles
MS,Round 1,,DONG Tian Yao,21-6 / 21-5,Raymond SING,,20,MS,Men's Singles
MS,Round 1,,MA Cheng-Yi,21-10 / 21-13,Kai Chen TEOH,,33,MS,Men's Singles
MS,Round 1,,Koshiro MORIGUCHI,14-21 / 21-7 / 21-15,Pang Fong PUI,,57,MS,Men's Singles
MS,Round 2,,Shesar Hiren RHUSTAVITO,21-9 / 21-15,Kartikey GULSHAN KUMAR,,36,MS,Men's Singles
MS,Round 2,,Ming Hong LIM,15-7 Ret.,WU Kaian,,9,MS,Men's Singles
MS,Round 2,,KUO Kuan Lin,8-21 / 21-16 / 21-11,Takuma KAWAMOTO,,54,MS,Men's Singles
MS,Round 2,,YANG Yang,21-13 / 21-13,Raghu MARISWAMY,,34,MS,Men's Singles
MS,Round 2,,CHAN Yin Chak,21-9 / 21-15,HUAN Kai Hern,,34,MS,Men's Singles
MS,Round 2,,Panitchaphon TEERARATSAKUL,21-6 / 21-10,Ahmed NIBAL,,25,MS,Men's Singles
MS,Round 2,,LIU Liang,21-19 / 21-10,NGUYEN Hai Dang,,38,MS,Men's Singles
MS,Round 2,,CHENG Kai,12-21 / 21-15 / 23-21,Krishna Adi NUGRAHA,,77,MS,Men's Singles
MS,Round 2,,Xiaodong SHENG,21-17 / 21-16,Somi ROMDHANI,,43,MS,Men's Singles
MS,Round 2,,Riku HATANO,21-18 / 21-6,Daigo TANIOKA,,35,MS,Men's Singles
MS,Round 2,,WANG Zheng Xing,21-16 / 24-22,Nachakorn PUSRI,,47,MS,Men's Singles
MS,Round 2,,WANG Po-Wei,21-16 / 21-16,PHONE Pyae NAING,,36,MS,Men's Singles
MS,Round 2,,CHEN Chi Ting,21-12 / 21-6,Zewel XIE,,33,MS,Men's Singles
MS,Round 2,,DONG Tian Yao,21-15 / 21-16,Jason GUNAWAN,,46,MS,Men's Singles
MS,Round 2,,HUANG Yu,21-13 / 21-18,MA Cheng-Yi,,42,MS,Men's Singles
MS,Round 2,,Ayush SHETTY,21-15 / 15-21 / 22-20,Koshiro MORIGUCHI,,65,MS,Men's Singles
MS,Round 3,,Shesar Hiren RHUSTAVITO,21-14 / 23-21,Ming Hong LIM,,41,MS,Men's Singles
MS,Round 3,,KUO Kuan Lin,24-22 / 16-21 / 21-17,YANG Yang,,79,MS,Men's Singles
MS,Round 3,,CHAN Yin Chak,21-15 / 21-18,Panitchaphon TEERARATSAKUL,,36,MS,Men's Singles
MS,Round 3,,LIU Liang,21-15 / 21-15,CHENG Kai,,40,MS,Men's Singles
MS,Round 3,,Riku HATANO,21-16 / 21-14,Xiaodong SHENG,,41,MS,Men's Singles
MS,Round 3,,WANG Zheng Xing,21-10 / 21-8,WANG Po-Wei,,26,MS,Men's Singles
MS,Round 3,,DONG Tian Yao,21-19 / 22-20,CHEN Chi Ting,,55,MS,Men's Singles
MS,Round 3,,Ayush SHETTY,21-16 / 13-21 / 23-21,HUANG Yu,,66,MS,Men's Singles
MS,Quarter-final,,Shesar Hiren RHUSTAVITO,21-17 / 21-14,KUO Kuan Lin,,39,MS,Men's Singles
MS,Quarter-final,,LIU Liang,21-13 / 16-21 / 21-18,CHAN Yin Chak,,61,MS,Men's Singles
MS,Quarter-final,,WANG Zheng Xing,22-20 / 21-8,Riku HATANO,,43,MS,Men's Singles
MS,Quarter-final,,DONG Tian Yao,21-9 / 18-21 / 21-16,Ayush SHETTY,,67,MS,Men's Singles
MS,Semi-final,,LIU Liang,21-9 / 21-5,Shesar Hiren RHUSTAVITO,,26,MS,Men's Singles
MS,Semi-final,,WANG Zheng Xing,21-16 / 21-6,DONG Tian Yao,,38,MS,Men's Singles
MS,Final,,WANG Zheng Xing,21-19 / 17-21 / 21-17,LIU Liang,,63,MS,Men's Singles
WD (qual),Round 1,,HUNG Yi-Ting / PENG Yu Wei,W.O.,CHEN Yingxue / ZHANG Jinger,,0,WD,Women's Doubles
WD (qual),Round 1,,LIANG Yu En / ZHOU Jia Qi,W.O.,HUA Xiaobei / QIAN Gouhong,,0,WD,Women's Doubles
WD (qual),Round 1,,CHEN Yingying / WU Jia Shu,W.O.,QIAO Shijun / WANG Yu Yan,,0,WD,Women's Doubles
WD,Round 1,,Laksika KANLAHA / Phataimas MUENWONG,18-21 / 21-10 / 21-17,JIANG Yi-Hua / LI Zi Qing,,62,WD,Women's Doubles
WD,Round 1,,CHEN Yingxue / ZHANG Jinger,21-18 / 21-9,CHIU Pin-Chian / TUNG Ciou-Tong,,32,WD,Women's Doubles
WD,Round 1,,LIN Xiao Min / LIU Chiao-Yun,21-15 / 21-12,CHUNG Kan-Yu / HSIEH Pei Shan,,29,WD,Women's Doubles
WD,Round 1,,Maiko KAWAZOE / Riko KIYOSE,17-21 / 21-18 / 21-11,HUA Xiaobei / QIAN Gouhong,,69,WD,Women's Doubles
WD,Round 1,,HUANG Ke Xin / WU Meng Ying,21-18 / 21-10,LEE Zhi Qing / Sue Xin TIO,,32,WD,Women's Doubles
WD,Round 1,,BAO Li Jing / TANG Rui Zhi,21-16 / 21-10,SUNG Yi-Hsuan / YANG Yi Hsun,,41,WD,Women's Doubles
WD,Round 1,,QIAO Shijun / WANG Yu Yan,21-8 / 21-11,LIN YEN YU / TSAI Ruo Lin,,27,WD,Women's Doubles
WD,Round 1,,LIN Chih-Chun / SUNG Yu-Hsuan,21-16 / 18-21 / 21-8,WANG Yi Zhen / YANG Yu-Chi,,49,WD,Women's Doubles
WD,Round 1,,Yuxin GUO / XIA Yuting,21-13 / 21-17,HUNG Yi-Ting / PENG Yu Wei,,32,WD,Women's Doubles
WD,Round 1,,Mizuki OTAKE / Miyu TAKAHASHI,21-10 / 21-9,HUNG Hsin En / HUNG Yu- En,,26,WD,Women's Doubles
WD,Round 1,,CHEN Xiaofei / FENG Xueying,21-14 / 21-7,Nicole Gonzales CHAN / YANG Chu Yun,,28,WD,Women's Doubles
WD,Round 1,,Kokona ISHIKAWA / Mio KONEGAWA,21-13 / 21-11,DING Ke Yun / LUO Yi,,41,WD,Women's Doubles
WD,Round 1,,GO Pei Kee / LOW Yeen Yuan,21-15 / 21-16,CHEN Yingying / WU Jia Shu,,53,WD,Women's Doubles
WD,Round 1,,Miki KANEHIRO / Rui KIYAMA,21-17 / 21-13,HUANG Xin Yao / LU Yi,,36,WD,Women's Doubles
WD,Round 1,,HUNG En-Tzu / LIN Yu-Pei,21-16 / 21-14,LIANG Yu En / ZHOU Jia Qi,,31,WD,Women's Doubles
WD,Round 2,,Laksika KANLAHA / Phataimas MUENWONG,21-14 / 21-11,CHEN Yingxue / ZHANG Jinger,,32,WD,Women's Doubles
WD,Round 2,,Maiko KAWAZOE / Riko KIYOSE,23-21 / 21-17,LIN Xiao Min / LIU Chiao-Yun,,50,WD,Women's Doubles
WD,Round 2,,HUANG Ke Xin / WU Meng Ying,21-10 / 9-21 / 21-18,CHENG Yu-Pei / SUN Wen Pei,,50,WD,Women's Doubles
WD,Round 2,,BAO Li Jing / TANG Rui Zhi,21-14 / 21-15,QIAO Shijun / WANG Yu Yan,,44,WD,Women's Doubles
WD,Round 2,,LIN Chih-Chun / SUNG Yu-Hsuan,21-16 / 21-18,Yuxin GUO / XIA Yuting,,38,WD,Women's Doubles
